ALVAREZ,DANTE,ROCA 2014,MASCULINO
ALVAREZ,LEONARDO,ALEM 212,MASCULINO
BARROS,ABRIL,25 DE MAYO 211,FEMENINO
DANIELA,ALVEZ,ROCA 545,FEMENINO
DANTE,ROSALES,ALEM 111,MASCULINO
JAIMITO,GOMEZ,ALBERDI 111,MASCULINO
PEDRITO,GARCIA,ALVEAR 222,MASCULINO
PEREZ,SANDRA,ALEM 1122,FEMENINO
RODRIGUEZ,JOSE,ALBERDI 211,MASCULINO
SANDRA,GONZALEZ,RIVADAVIA 111,FEMENINO
ROSALES,JUANA,ALB 27 CASA 20,FEMENINO
PRATO,ALBERTO,ALEM 111,MASCULINO
SUAREZ,MICAELA,12 DE MAYO 765,FEMENINO
JUAREZ,DANIELA,ROCA 111,FEMENINO
SANCHEZ,ALDANA,ALEM 111,FEMENINO
RODRIGUEZ,JUSTO,ROCA 112,MASCULINO
